Pathology,AUC,F1,Precision,Recall,Specificity
Atelectasis,0.9003311135775065,0.4051724137931034,0.6527777777777778,0.29375,0.9833518312985572
Cardiomegaly,0.9545041077992368,0.34328358208955223,0.6571428571428571,0.23232323232323232,0.9975440032746623
Consolidation,0.8354524998627958,0.0,0.0,0.0,1.0
Edema,0.9116493464644634,0.08695652173913043,0.36363636363636365,0.04938271604938271,0.9985725938009788
Effusion,0.9235744932010626,0.515625,0.7122302158273381,0.40408163265306124,0.982202447163515
Emphysema,0.9632629595423017,0.5606694560669456,0.6320754716981132,0.5037593984962406,0.9919620774938169
Fibrosis,0.8563684630664414,0.021739130434782608,0.25,0.011363636363636364,0.999387380028589
Hernia,0.9234560450613559,0.0,0.0,0.0,1.0
Infiltration,0.7885221162491407,0.26588235294117646,0.5794871794871795,0.17251908396946564,0.9810623556581987
Mass,0.8928447858279703,0.4152542372881356,0.7205882352941176,0.2916666666666667,0.9960556362881462
No Finding,0.848924334525547,0.8146646392971786,0.8172881355932203,0.8120579319636241,0.7326388888888888
Nodule,0.8437126083701271,0.26299694189602446,0.5,0.17842323651452283,0.9909359190556493
Pleural_Thickening,0.8656320774140416,0.015151515151515152,0.25,0.0078125,0.9993823347745522
Pneumonia,0.8086122205389524,0.0,0.0,0.0,1.0
Pneumothorax,0.9390330080137294,0.4675324675324675,0.5869565217391305,0.38848920863309355,0.9921584812216261
